name,class_name,module,layer,ccm,range
updateResult,ResultService,result,service,26,high
processAdtMessage,EncounterService,encounter,service,21,high
buildEncounterSummary,EncounterService,encounter,service,20,high
transitionEncounterStatus,EncounterService,encounter,service,18,high
buildResultReport,ResultService,result,service,17,high
validateOrderResult,OrderService,order,service,15,high
validateEncounterFields,EncounterService,encounter,service,11,high
updatePatient,PatientService,patient,service,10,medium
updateEncounter,EncounterService,encounter,service,9,medium
updateOrder,OrderService,order,service,7,medium
createEncounter,EncounterService,encounter,service,5,medium
createOrder,OrderService,order,service,5,medium
createResult,ResultService,result,service,5,medium
createPatient,PatientService,patient,service,4,low
getEncounterById,EncounterService,encounter,service,2,low
getOrderById,OrderService,order,service,2,low
cancelOrder,OrderService,order,service,2,low
getPatientById,PatientService,patient,service,2,low
findByCpfOrFail,PatientService,patient,service,2,low
getResultById,ResultService,result,service,2,low
listEncountersByPatient,EncounterService,encounter,service,1,low
searchOrders,OrderService,order,service,1,low
searchOrdersAdvanced,OrderService,order,service,1,low
listPatients,PatientService,patient,service,1,low
searchResults,ResultService,result,service,1,low
