model,strategy,error_category,error_subcategory,total_events,functions_observed,distinct_attempts_logged,events_per_function,events_per_attempt
gemma_4,few_shot,jest,assertion_failure,23,9,10,2.56,2.3
gemma_4,few_shot,jest,runtime_error,9,3,3,3.0,3.0
gemma_4,few_shot,jest,unexpected_throw,3,3,3,1.0,1.0
gemma_4,few_shot,jest,unknown,17,6,7,2.83,2.43
gemma_4,few_shot,repair,repair_failed,2,2,2,1.0,1.0
gemma_4,structured,generation,invalid_output,1,1,0,1.0,
gemma_4,structured,jest,assertion_failure,31,6,9,5.17,3.44
gemma_4,structured,jest,runtime_error,11,2,5,5.5,2.2
gemma_4,structured,jest,unexpected_throw,2,1,1,2.0,2.0
gemma_4,structured,jest,unknown,23,6,10,3.83,2.3
gemma_4,structured,pipeline,rollback,1,1,0,1.0,
gemma_4,structured,repair,max_repairs_exceeded,1,1,1,1.0,1.0
gemma_4,structured,repair,repair_failed,6,5,6,1.2,1.0
gemma_4,zero_shot,generation,invalid_output,1,1,0,1.0,
gemma_4,zero_shot,jest,assertion_failure,7,5,4,1.4,1.75
gemma_4,zero_shot,jest,runtime_error,21,5,6,4.2,3.5
gemma_4,zero_shot,jest,test_discovery_failure,9,2,9,4.5,1.0
gemma_4,zero_shot,jest,unknown,17,3,4,5.67,4.25
gemma_4,zero_shot,pipeline,rollback,2,2,0,1.0,
gemma_4,zero_shot,repair,max_repairs_exceeded,2,2,2,1.0,1.0
gemma_4,zero_shot,repair,repair_failed,9,9,9,1.0,1.0
gemma_4,zero_shot,repair,unparseable_failure,7,2,7,3.5,1.0
qwen_coder_3b,few_shot,generation,invalid_output,2,2,0,1.0,
qwen_coder_3b,few_shot,jest,assertion_failure,15,7,2,2.14,7.5
qwen_coder_3b,few_shot,jest,runtime_error,12,3,4,4.0,3.0
qwen_coder_3b,few_shot,jest,test_discovery_failure,4,1,4,4.0,1.0
qwen_coder_3b,few_shot,jest,unexpected_throw,12,6,10,2.0,1.2
qwen_coder_3b,few_shot,jest,unknown,11,3,3,3.67,3.67
qwen_coder_3b,few_shot,pipeline,rollback,1,1,0,1.0,
qwen_coder_3b,few_shot,repair,max_repairs_exceeded,1,1,1,1.0,1.0
qwen_coder_3b,few_shot,repair,repair_failed,1,1,1,1.0,1.0
qwen_coder_3b,few_shot,repair,unparseable_failure,3,1,3,3.0,1.0
qwen_coder_3b,structured,jest,assertion_failure,4,3,3,1.33,1.33
qwen_coder_3b,structured,jest,runtime_error,14,4,2,3.5,7.0
qwen_coder_3b,structured,jest,test_discovery_failure,5,1,5,5.0,1.0
qwen_coder_3b,structured,jest,unexpected_throw,12,6,7,2.0,1.71
qwen_coder_3b,structured,jest,unknown,31,8,15,3.88,2.07
qwen_coder_3b,structured,pipeline,rollback,3,3,0,1.0,
qwen_coder_3b,structured,repair,max_repairs_exceeded,3,3,3,1.0,1.0
qwen_coder_3b,structured,repair,repair_failed,1,1,1,1.0,1.0
qwen_coder_3b,structured,repair,unparseable_failure,12,3,12,4.0,1.0
qwen_coder_3b,zero_shot,jest,assertion_failure,24,6,6,4.0,4.0
qwen_coder_3b,zero_shot,jest,runtime_error,38,8,11,4.75,3.45
qwen_coder_3b,zero_shot,jest,test_discovery_failure,5,1,5,5.0,1.0
qwen_coder_3b,zero_shot,jest,unexpected_throw,6,3,2,2.0,3.0
qwen_coder_3b,zero_shot,jest,unknown,59,13,49,4.54,1.2
qwen_coder_3b,zero_shot,pipeline,rollback,10,10,0,1.0,
qwen_coder_3b,zero_shot,repair,max_repairs_exceeded,10,10,10,1.0,1.0
qwen_coder_3b,zero_shot,repair,repair_failed,1,1,1,1.0,1.0
qwen_coder_3b,zero_shot,repair,unparseable_failure,40,10,40,4.0,1.0
qwen_coder_7b,few_shot,jest,assertion_failure,7,5,5,1.4,1.4
qwen_coder_7b,few_shot,jest,runtime_error,19,2,5,9.5,3.8
qwen_coder_7b,few_shot,jest,test_discovery_failure,5,1,5,5.0,1.0
qwen_coder_7b,few_shot,jest,unexpected_throw,6,5,5,1.2,1.2
qwen_coder_7b,few_shot,jest,unknown,2,1,2,2.0,1.0
qwen_coder_7b,few_shot,pipeline,rollback,1,1,0,1.0,
qwen_coder_7b,few_shot,repair,max_repairs_exceeded,1,1,1,1.0,1.0
qwen_coder_7b,few_shot,repair,repair_failed,1,1,1,1.0,1.0
qwen_coder_7b,few_shot,repair,unparseable_failure,4,1,4,4.0,1.0
qwen_coder_7b,structured,jest,assertion_failure,18,3,8,6.0,2.25
qwen_coder_7b,structured,jest,runtime_error,15,3,3,5.0,5.0
qwen_coder_7b,structured,jest,unexpected_throw,7,4,4,1.75,1.75
qwen_coder_7b,structured,jest,unknown,3,3,2,1.0,1.5
qwen_coder_7b,structured,pipeline,rollback,1,1,0,1.0,
qwen_coder_7b,structured,repair,max_repairs_exceeded,1,1,1,1.0,1.0
qwen_coder_7b,structured,repair,repair_failed,2,1,2,2.0,1.0
qwen_coder_7b,zero_shot,jest,assertion_failure,9,4,6,2.25,1.5
qwen_coder_7b,zero_shot,jest,runtime_error,21,4,5,5.25,4.2
qwen_coder_7b,zero_shot,jest,unexpected_throw,5,4,4,1.25,1.25
qwen_coder_7b,zero_shot,jest,unknown,6,2,6,3.0,1.0
qwen_coder_7b,zero_shot,pipeline,rollback,1,1,0,1.0,
qwen_coder_7b,zero_shot,repair,max_repairs_exceeded,1,1,1,1.0,1.0
qwen_coder_7b,zero_shot,repair,unparseable_failure,4,1,4,4.0,1.0
