model,strategy,phase,total_events,functions_observed,distinct_attempts_logged,events_per_function,events_per_attempt
falcon_7b,few_shot,generation,4,4,0,1.0,
falcon_7b,few_shot,jest,73,15,68,4.87,1.07
falcon_7b,few_shot,pipeline,13,13,0,1.0,
falcon_7b,few_shot,repair,65,15,65,4.33,1.0
falcon_7b,structured,jest,120,15,46,8.0,2.61
falcon_7b,structured,repair,12,11,12,1.09,1.0
falcon_7b,zero_shot,jest,69,14,44,4.93,1.57
falcon_7b,zero_shot,pipeline,6,6,0,1.0,
falcon_7b,zero_shot,repair,27,6,27,4.5,1.0
gemma_4,few_shot,generation,2,2,0,1.0,
gemma_4,few_shot,jest,25,6,11,4.17,2.27
gemma_4,few_shot,repair,1,1,1,1.0,1.0
gemma_4,structured,jest,63,13,26,4.85,2.42
gemma_4,structured,pipeline,1,1,0,1.0,
gemma_4,structured,repair,5,3,5,1.67,1.0
gemma_4,zero_shot,generation,1,1,0,1.0,
gemma_4,zero_shot,jest,74,13,19,5.69,3.89
gemma_4,zero_shot,repair,8,8,8,1.0,1.0
qwen_4b,few_shot,jest,51,11,23,4.64,2.22
qwen_4b,few_shot,pipeline,1,1,0,1.0,
qwen_4b,few_shot,repair,5,2,5,2.5,1.0
qwen_4b,structured,generation,1,1,0,1.0,
qwen_4b,structured,jest,65,8,26,8.12,2.5
qwen_4b,structured,pipeline,3,3,0,1.0,
qwen_4b,structured,repair,13,4,13,3.25,1.0
qwen_4b,zero_shot,jest,113,11,31,10.27,3.65
qwen_4b,zero_shot,pipeline,1,1,0,1.0,
qwen_4b,zero_shot,repair,7,5,7,1.4,1.0
qwen_coder_3b,few_shot,generation,2,2,0,1.0,
qwen_coder_3b,few_shot,jest,53,12,17,4.42,3.12
qwen_coder_3b,few_shot,repair,1,1,1,1.0,1.0
qwen_coder_3b,structured,jest,50,17,30,2.94,1.67
qwen_coder_3b,structured,pipeline,2,2,0,1.0,
qwen_coder_3b,structured,repair,10,2,10,5.0,1.0
qwen_coder_3b,zero_shot,generation,1,1,0,1.0,
qwen_coder_3b,zero_shot,jest,82,19,48,4.32,1.71
qwen_coder_3b,zero_shot,pipeline,5,5,0,1.0,
qwen_coder_3b,zero_shot,repair,26,6,26,4.33,1.0
qwen_coder_7b,few_shot,jest,32,12,17,2.67,1.88
qwen_coder_7b,few_shot,repair,1,1,1,1.0,1.0
qwen_coder_7b,structured,jest,40,11,19,3.64,2.11
qwen_coder_7b,structured,pipeline,1,1,0,1.0,
qwen_coder_7b,structured,repair,5,2,5,2.5,1.0
qwen_coder_7b,zero_shot,jest,47,13,22,3.62,2.14
qwen_coder_7b,zero_shot,pipeline,1,1,0,1.0,
qwen_coder_7b,zero_shot,repair,6,2,6,3.0,1.0
