model,strategy,phase,error_category,error_subcategory,event_count,rank
gemma_4,few_shot,jest,jest,assertion_failure,23,1
gemma_4,few_shot,jest,jest,unknown,17,2
gemma_4,few_shot,jest,jest,runtime_error,9,3
gemma_4,few_shot,jest,jest,unexpected_throw,3,4
gemma_4,few_shot,repair,repair,repair_failed,2,5
gemma_4,structured,jest,jest,assertion_failure,31,1
gemma_4,structured,jest,jest,unknown,23,2
gemma_4,structured,jest,jest,runtime_error,11,3
gemma_4,structured,repair,repair,repair_failed,6,4
gemma_4,structured,jest,jest,unexpected_throw,2,5
gemma_4,zero_shot,jest,jest,runtime_error,21,1
gemma_4,zero_shot,jest,jest,unknown,17,2
gemma_4,zero_shot,jest,jest,test_discovery_failure,9,3
gemma_4,zero_shot,repair,repair,repair_failed,9,4
gemma_4,zero_shot,jest,jest,assertion_failure,7,5
qwen_coder_3b,few_shot,jest,jest,assertion_failure,15,1
qwen_coder_3b,few_shot,jest,jest,runtime_error,12,2
qwen_coder_3b,few_shot,jest,jest,unexpected_throw,12,3
qwen_coder_3b,few_shot,jest,jest,unknown,11,4
qwen_coder_3b,few_shot,jest,jest,test_discovery_failure,4,5
qwen_coder_3b,structured,jest,jest,unknown,31,1
qwen_coder_3b,structured,jest,jest,runtime_error,14,2
qwen_coder_3b,structured,jest,jest,unexpected_throw,12,3
qwen_coder_3b,structured,repair,repair,unparseable_failure,12,4
qwen_coder_3b,structured,jest,jest,test_discovery_failure,5,5
qwen_coder_3b,zero_shot,jest,jest,unknown,59,1
qwen_coder_3b,zero_shot,repair,repair,unparseable_failure,40,2
qwen_coder_3b,zero_shot,jest,jest,runtime_error,38,3
qwen_coder_3b,zero_shot,jest,jest,assertion_failure,24,4
qwen_coder_3b,zero_shot,pipeline,pipeline,rollback,10,5
qwen_coder_7b,few_shot,jest,jest,runtime_error,19,1
qwen_coder_7b,few_shot,jest,jest,assertion_failure,7,2
qwen_coder_7b,few_shot,jest,jest,unexpected_throw,6,3
qwen_coder_7b,few_shot,jest,jest,test_discovery_failure,5,4
qwen_coder_7b,few_shot,repair,repair,unparseable_failure,4,5
qwen_coder_7b,structured,jest,jest,assertion_failure,18,1
qwen_coder_7b,structured,jest,jest,runtime_error,15,2
qwen_coder_7b,structured,jest,jest,unexpected_throw,7,3
qwen_coder_7b,structured,jest,jest,unknown,3,4
qwen_coder_7b,structured,repair,repair,repair_failed,2,5
qwen_coder_7b,zero_shot,jest,jest,runtime_error,21,1
qwen_coder_7b,zero_shot,jest,jest,assertion_failure,9,2
qwen_coder_7b,zero_shot,jest,jest,unknown,6,3
qwen_coder_7b,zero_shot,jest,jest,unexpected_throw,5,4
qwen_coder_7b,zero_shot,repair,repair,unparseable_failure,4,5
