model,strategy,ccm_band,total_observations,unmeasurable_observations,measurable_observations,distinct_functions,mean_assertion_roulette_rate,median_assertion_roulette_rate
gemma_4,few_shot,1-5,12,0,12,12,100.0,100.0
gemma_4,few_shot,6-10,5,0,5,5,85.0,100.0
gemma_4,few_shot,11-20,5,0,5,5,49.44,25.0
gemma_4,few_shot,>20,3,0,3,3,83.33,100.0
gemma_4,structured,1-5,12,0,12,12,97.92,100.0
gemma_4,structured,6-10,5,0,5,5,100.0,100.0
gemma_4,structured,11-20,4,1,3,3,62.97,75.0
gemma_4,structured,>20,2,0,2,2,100.0,100.0
gemma_4,zero_shot,1-5,12,2,10,10,90.0,100.0
gemma_4,zero_shot,6-10,5,3,2,2,100.0,100.0
gemma_4,zero_shot,11-20,4,2,2,2,100.0,100.0
gemma_4,zero_shot,>20,1,0,1,1,40.0,40.0
qwen_coder_3b,few_shot,1-5,12,0,12,12,41.67,25.0
qwen_coder_3b,few_shot,6-10,4,1,3,3,83.33,100.0
qwen_coder_3b,few_shot,11-20,3,1,2,2,50.0,50.0
qwen_coder_3b,few_shot,>20,3,0,3,3,25.0,0.0
qwen_coder_3b,structured,1-5,11,0,11,11,12.12,0.0
qwen_coder_3b,structured,6-10,4,2,2,2,0.0,0.0
qwen_coder_3b,structured,11-20,5,2,3,3,27.77,0.0
qwen_coder_3b,structured,>20,2,0,2,2,25.0,25.0
qwen_coder_3b,zero_shot,1-5,7,3,4,4,25.0,0.0
qwen_coder_3b,zero_shot,6-10,2,0,2,2,50.0,50.0
qwen_coder_3b,zero_shot,11-20,3,2,1,1,0.0,0.0
qwen_coder_3b,zero_shot,>20,3,2,1,1,0.0,0.0
qwen_coder_7b,few_shot,1-5,11,0,11,11,36.36,0.0
qwen_coder_7b,few_shot,6-10,5,0,5,5,60.0,100.0
qwen_coder_7b,few_shot,11-20,5,0,5,5,20.0,0.0
qwen_coder_7b,few_shot,>20,3,0,3,3,33.33,0.0
qwen_coder_7b,structured,1-5,12,0,12,12,48.61,50.0
qwen_coder_7b,structured,6-10,5,0,5,5,46.66,33.3
qwen_coder_7b,structured,11-20,5,1,4,4,25.0,0.0
qwen_coder_7b,structured,>20,2,0,2,2,0.0,0.0
qwen_coder_7b,zero_shot,1-5,12,0,12,12,91.67,100.0
qwen_coder_7b,zero_shot,6-10,4,0,4,4,68.75,75.0
qwen_coder_7b,zero_shot,11-20,5,0,5,5,31.12,0.0
qwen_coder_7b,zero_shot,>20,3,0,3,3,33.33,0.0
