model,strategy,functions,measurable_functions,unmeasurable_functions,avg_it_active,avg_assertion_roulette_count,avg_empty_test_count,assertion_roulette_rate,empty_test_rate
falcon_7b,few_shot,8,8,0,2.62,1.5,0.0,44.28,0.0
falcon_7b,structured,25,19,6,2.05,0.53,0.0,31.58,0.0
falcon_7b,zero_shot,19,19,0,2.47,1.0,0.0,56.14,0.0
gemma_4,few_shot,23,22,1,3.68,2.09,0.0,78.6,0.0
gemma_4,structured,24,23,1,4.3,3.35,0.0,85.15,0.0
gemma_4,zero_shot,24,17,7,2.24,2.12,0.0,92.16,0.0
qwen_4b,few_shot,24,23,1,3.96,1.48,0.0,43.23,0.0
qwen_4b,structured,21,20,1,4.2,0.6,0.0,23.34,0.0
qwen_4b,zero_shot,24,22,2,4.73,0.91,0.0,21.01,0.0
qwen_coder_3b,few_shot,23,20,3,2.55,1.35,0.0,45.96,0.0
qwen_coder_3b,structured,23,22,1,2.91,0.41,0.0,14.5,0.0
qwen_coder_3b,zero_shot,19,12,7,2.17,0.5,0.0,33.33,0.0
qwen_coder_7b,few_shot,25,25,0,3.08,0.96,0.0,46.57,0.0
qwen_coder_7b,structured,24,23,1,3.3,1.22,0.0,44.67,0.0
qwen_coder_7b,zero_shot,24,23,1,2.87,1.48,0.0,60.62,0.0
