model,strategy,ccm_band,attempted_observations,fully_skipped_observations,verified_observations,distinct_functions,mean_statement_coverage,median_statement_coverage,q1_statement_coverage,q3_statement_coverage,mean_branch_coverage,median_branch_coverage,q1_branch_coverage,q3_branch_coverage
gemma_4,few_shot,1-5,12,0,12,12,99.24,100.0,100.0,100.0,55.56,83.34,0.0,100.0
gemma_4,few_shot,6-10,5,0,5,5,91.56,100.0,80.0,100.0,73.75,62.5,62.5,87.5
gemma_4,few_shot,11-20,5,0,5,5,91.07,92.59,82.76,100.0,84.19,85.71,75.0,94.44
gemma_4,few_shot,>20,3,0,3,3,88.26,88.24,84.66,91.84,78.36,81.82,70.6,87.85
gemma_4,structured,1-5,12,0,12,12,100.0,100.0,100.0,100.0,56.94,91.66,0.0,100.0
gemma_4,structured,6-10,5,0,5,5,98.33,100.0,100.0,100.0,91.67,87.5,87.5,100.0
gemma_4,structured,11-20,5,1,3,3,90.72,89.66,87.42,93.48,83.16,92.86,77.68,93.49
gemma_4,structured,>20,3,0,2,2,74.75,74.75,64.4,85.1,82.81,82.81,76.26,89.36
gemma_4,zero_shot,1-5,12,2,10,10,100.0,100.0,100.0,100.0,60.0,100.0,0.0,100.0
gemma_4,zero_shot,6-10,5,3,2,2,90.91,90.91,86.36,95.46,81.25,81.25,71.88,90.62
gemma_4,zero_shot,11-20,5,2,2,2,57.4,57.4,36.11,78.7,49.06,49.06,26.09,72.03
gemma_4,zero_shot,>20,3,0,1,1,97.06,97.06,97.06,97.06,84.38,84.38,84.38,84.38
qwen_coder_3b,few_shot,1-5,12,0,12,12,95.45,100.0,100.0,100.0,51.39,58.34,0.0,100.0
qwen_coder_3b,few_shot,6-10,5,1,3,3,72.42,90.0,58.64,95.0,66.67,75.0,50.0,87.5
qwen_coder_3b,few_shot,11-20,5,1,2,2,71.16,71.16,64.15,78.18,56.25,56.25,53.12,59.38
qwen_coder_3b,few_shot,>20,3,0,3,3,50.87,38.24,28.58,66.84,42.25,21.88,21.54,52.78
qwen_coder_3b,structured,1-5,12,0,11,11,88.64,100.0,75.0,100.0,39.39,50.0,0.0,50.0
qwen_coder_3b,structured,6-10,5,2,2,2,90.0,90.0,85.0,95.0,81.25,81.25,71.88,90.62
qwen_coder_3b,structured,11-20,5,2,3,3,61.37,48.28,45.76,70.44,43.43,32.14,30.78,50.44
qwen_coder_3b,structured,>20,3,0,2,2,48.53,48.53,36.42,60.63,44.22,44.22,38.77,49.66
qwen_coder_3b,zero_shot,1-5,12,3,4,4,100.0,100.0,100.0,100.0,25.0,0.0,0.0,25.0
qwen_coder_3b,zero_shot,6-10,5,0,2,2,75.26,75.26,73.99,76.52,59.38,59.38,54.69,64.06
qwen_coder_3b,zero_shot,11-20,5,2,1,1,20.69,20.69,20.69,20.69,10.71,10.71,10.71,10.71
qwen_coder_3b,zero_shot,>20,3,2,1,1,73.53,73.53,73.53,73.53,50.0,50.0,50.0,50.0
qwen_coder_7b,few_shot,1-5,12,0,11,11,100.0,100.0,100.0,100.0,53.03,83.33,0.0,100.0
qwen_coder_7b,few_shot,6-10,5,0,5,5,78.12,83.33,80.0,100.0,72.5,75.0,62.5,100.0
qwen_coder_7b,few_shot,11-20,5,0,5,5,58.84,72.97,20.69,85.71,49.56,61.76,10.71,72.22
qwen_coder_7b,few_shot,>20,3,0,3,3,42.71,29.73,16.34,62.59,37.99,30.3,15.15,56.98
qwen_coder_7b,structured,1-5,12,0,12,12,100.0,100.0,100.0,100.0,56.94,91.66,0.0,100.0
qwen_coder_7b,structured,6-10,5,0,5,5,93.03,100.0,83.33,100.0,86.25,100.0,68.75,100.0
qwen_coder_7b,structured,11-20,5,1,4,4,73.1,77.22,64.21,86.11,59.39,60.57,49.89,70.07
qwen_coder_7b,structured,>20,3,0,2,2,78.81,78.81,70.48,87.13,79.22,79.22,75.97,82.46
qwen_coder_7b,zero_shot,1-5,12,0,12,12,100.0,100.0,100.0,100.0,56.94,91.66,0.0,100.0
qwen_coder_7b,zero_shot,6-10,5,0,4,4,77.64,84.44,70.42,91.67,67.71,68.75,61.46,75.0
qwen_coder_7b,zero_shot,11-20,5,0,5,5,57.37,51.35,20.69,100.0,43.75,38.24,10.71,66.67
qwen_coder_7b,zero_shot,>20,3,0,3,3,69.67,79.41,61.32,82.88,66.84,60.61,58.43,72.14
