model,ccm_band,distinct_functions,mutants_total,mutants_killed,mutants_killed_by_own_tests,no_coverage_share,mutation_score_corrected
falcon_7b,1-5,12,174,86,80,30.46,49.43
falcon_7b,6-10,5,318,90,90,58.49,28.3
falcon_7b,11-20,5,951,66,53,89.91,6.94
falcon_7b,>20,3,864,259,259,46.3,29.98
gemma_4,1-5,12,174,154,151,4.02,88.51
gemma_4,6-10,5,318,194,194,24.84,61.01
gemma_4,11-20,5,951,456,417,33.02,47.95
gemma_4,>20,3,864,285,285,51.85,32.99
qwen_4b,1-5,12,174,123,119,13.22,70.69
qwen_4b,6-10,5,318,150,150,32.39,47.17
qwen_4b,11-20,5,951,436,410,25.87,45.85
qwen_4b,>20,3,864,279,279,48.84,32.29
qwen_coder_3b,1-5,12,174,122,114,10.34,70.11
qwen_coder_3b,6-10,5,318,106,106,49.37,33.33
qwen_coder_3b,11-20,5,951,156,150,64.56,16.4
qwen_coder_3b,>20,3,864,230,230,53.01,26.62
qwen_coder_7b,1-5,12,174,150,150,0.57,86.71
qwen_coder_7b,6-10,5,318,193,193,14.15,60.69
qwen_coder_7b,11-20,5,951,284,258,47.63,29.86
qwen_coder_7b,>20,3,864,312,312,32.87,36.11
