model,strategy,module,function,ccm,total_tests,passed_tests,fn_functions_pct
falcon_7b,few_shot,result,updateResult,26,8.0,8.0,100.0
falcon_7b,few_shot,order,updateOrder,7,3.0,3.0,100.0
falcon_7b,few_shot,encounter,getEncounterById,2,2.0,2.0,100.0
falcon_7b,few_shot,order,searchOrdersAdvanced,1,2.0,2.0,100.0
falcon_7b,few_shot,order,cancelOrder,2,2.0,2.0,100.0
falcon_7b,few_shot,patient,getPatientById,2,2.0,2.0,100.0
falcon_7b,few_shot,result,buildResultReport,17,2.0,1.0,50.0
falcon_7b,few_shot,patient,listPatients,1,1.0,1.0,100.0
falcon_7b,structured,order,validateOrderResult,15,7.0,2.0,33.33
falcon_7b,structured,result,buildResultReport,17,7.0,1.0,50.0
falcon_7b,structured,result,updateResult,26,7.0,7.0,100.0
falcon_7b,structured,encounter,processAdtMessage,21,6.0,2.0,100.0
falcon_7b,structured,encounter,createEncounter,5,4.0,1.0,100.0
falcon_7b,structured,encounter,updateEncounter,9,4.0,2.0,100.0
falcon_7b,structured,encounter,buildEncounterSummary,20,4.0,3.0,100.0
falcon_7b,structured,order,createOrder,5,4.0,1.0,100.0
falcon_7b,structured,order,searchOrders,1,4.0,4.0,100.0
falcon_7b,structured,encounter,listEncountersByPatient,1,3.0,1.0,100.0
falcon_7b,structured,encounter,getEncounterById,2,2.0,2.0,100.0
falcon_7b,structured,order,getOrderById,2,2.0,2.0,100.0
falcon_7b,structured,order,cancelOrder,2,2.0,2.0,100.0
falcon_7b,structured,patient,getPatientById,2,2.0,2.0,100.0
falcon_7b,structured,patient,findByCpfOrFail,2,2.0,2.0,100.0
falcon_7b,structured,result,getResultById,2,2.0,2.0,100.0
falcon_7b,structured,order,searchOrdersAdvanced,1,1.0,1.0,100.0
falcon_7b,structured,patient,listPatients,1,1.0,1.0,0.0
falcon_7b,structured,result,searchResults,1,1.0,1.0,100.0
falcon_7b,zero_shot,result,updateResult,26,8.0,7.0,100.0
falcon_7b,zero_shot,encounter,updateEncounter,9,6.0,6.0,100.0
falcon_7b,zero_shot,encounter,buildEncounterSummary,20,6.0,1.0,100.0
falcon_7b,zero_shot,encounter,validateEncounterFields,11,5.0,5.0,100.0
falcon_7b,zero_shot,encounter,createEncounter,5,4.0,3.0,100.0
falcon_7b,zero_shot,order,createOrder,5,4.0,3.0,100.0
falcon_7b,zero_shot,patient,createPatient,4,3.0,2.0,100.0
falcon_7b,zero_shot,patient,updatePatient,10,3.0,1.0,100.0
falcon_7b,zero_shot,result,createResult,5,3.0,3.0,100.0
falcon_7b,zero_shot,encounter,getEncounterById,2,2.0,2.0,100.0
falcon_7b,zero_shot,order,getOrderById,2,2.0,2.0,100.0
falcon_7b,zero_shot,order,cancelOrder,2,2.0,2.0,100.0
falcon_7b,zero_shot,patient,getPatientById,2,2.0,2.0,100.0
falcon_7b,zero_shot,patient,findByCpfOrFail,2,2.0,2.0,100.0
falcon_7b,zero_shot,result,getResultById,2,2.0,2.0,100.0
falcon_7b,zero_shot,result,buildResultReport,17,2.0,1.0,50.0
falcon_7b,zero_shot,order,searchOrdersAdvanced,1,1.0,1.0,100.0
falcon_7b,zero_shot,patient,listPatients,1,1.0,1.0,100.0
falcon_7b,zero_shot,result,searchResults,1,1.0,1.0,100.0
gemma_4,few_shot,encounter,transitionEncounterStatus,18,11.0,11.0,100.0
gemma_4,few_shot,encounter,processAdtMessage,21,11.0,8.0,100.0
gemma_4,few_shot,order,validateOrderResult,15,8.0,8.0,100.0
gemma_4,few_shot,result,updateResult,26,8.0,8.0,100.0
gemma_4,few_shot,encounter,updateEncounter,9,7.0,7.0,100.0
gemma_4,few_shot,order,updateOrder,7,6.0,6.0,100.0
gemma_4,few_shot,patient,updatePatient,10,5.0,5.0,100.0
gemma_4,few_shot,encounter,createEncounter,5,4.0,4.0,100.0
gemma_4,few_shot,order,createOrder,5,4.0,4.0,100.0
gemma_4,few_shot,patient,createPatient,4,3.0,1.0,100.0
gemma_4,few_shot,encounter,getEncounterById,2,2.0,2.0,100.0
gemma_4,few_shot,order,getOrderById,2,2.0,2.0,100.0
gemma_4,few_shot,order,cancelOrder,2,2.0,2.0,100.0
gemma_4,few_shot,patient,getPatientById,2,2.0,2.0,100.0
gemma_4,few_shot,patient,findByCpfOrFail,2,2.0,2.0,100.0
gemma_4,few_shot,result,createResult,5,2.0,2.0,100.0
gemma_4,few_shot,result,getResultById,2,2.0,2.0,100.0
gemma_4,few_shot,encounter,listEncountersByPatient,1,1.0,1.0,100.0
gemma_4,few_shot,order,searchOrders,1,1.0,1.0,100.0
gemma_4,few_shot,order,searchOrdersAdvanced,1,1.0,1.0,100.0
gemma_4,few_shot,patient,listPatients,1,1.0,1.0,100.0
gemma_4,few_shot,result,searchResults,1,1.0,1.0,100.0
gemma_4,structured,encounter,transitionEncounterStatus,18,12.0,11.0,100.0
gemma_4,structured,encounter,processAdtMessage,21,11.0,8.0,100.0
gemma_4,structured,order,validateOrderResult,15,10.0,9.0,100.0
gemma_4,structured,result,buildResultReport,17,10.0,9.0,100.0
gemma_4,structured,result,updateResult,26,9.0,8.0,100.0
gemma_4,structured,encounter,updateEncounter,9,7.0,6.0,100.0
gemma_4,structured,order,updateOrder,7,5.0,5.0,100.0
gemma_4,structured,encounter,createEncounter,5,4.0,4.0,100.0
gemma_4,structured,encounter,listEncountersByPatient,1,4.0,4.0,100.0
gemma_4,structured,order,createOrder,5,4.0,4.0,100.0
gemma_4,structured,result,createResult,5,4.0,4.0,100.0
gemma_4,structured,patient,listPatients,1,3.0,3.0,100.0
gemma_4,structured,patient,createPatient,4,3.0,3.0,100.0
gemma_4,structured,result,searchResults,1,3.0,3.0,100.0
gemma_4,structured,encounter,getEncounterById,2,2.0,2.0,100.0
gemma_4,structured,order,getOrderById,2,2.0,2.0,100.0
gemma_4,structured,order,searchOrders,1,2.0,2.0,100.0
gemma_4,structured,order,searchOrdersAdvanced,1,2.0,2.0,100.0
gemma_4,structured,order,cancelOrder,2,2.0,2.0,100.0
gemma_4,structured,patient,getPatientById,2,2.0,2.0,100.0
gemma_4,structured,patient,updatePatient,10,2.0,2.0,100.0
gemma_4,structured,patient,findByCpfOrFail,2,2.0,2.0,100.0
gemma_4,structured,result,getResultById,2,2.0,2.0,100.0
gemma_4,zero_shot,encounter,transitionEncounterStatus,18,11.0,1.0,0.0
gemma_4,zero_shot,order,validateOrderResult,15,9.0,4.0,100.0
gemma_4,zero_shot,encounter,processAdtMessage,21,7.0,4.0,100.0
gemma_4,zero_shot,encounter,validateEncounterFields,11,5.0,5.0,100.0
gemma_4,zero_shot,encounter,createEncounter,5,4.0,2.0,100.0
gemma_4,zero_shot,order,createOrder,5,4.0,3.0,100.0
gemma_4,zero_shot,patient,createPatient,4,4.0,3.0,100.0
gemma_4,zero_shot,encounter,getEncounterById,2,2.0,2.0,100.0
gemma_4,zero_shot,order,cancelOrder,2,2.0,2.0,100.0
gemma_4,zero_shot,patient,getPatientById,2,2.0,2.0,100.0
gemma_4,zero_shot,patient,findByCpfOrFail,2,2.0,2.0,100.0
gemma_4,zero_shot,result,getResultById,2,2.0,2.0,100.0
gemma_4,zero_shot,result,buildResultReport,17,2.0,2.0,100.0
gemma_4,zero_shot,encounter,listEncountersByPatient,1,1.0,1.0,100.0
gemma_4,zero_shot,order,searchOrders,1,1.0,1.0,100.0
gemma_4,zero_shot,order,searchOrdersAdvanced,1,1.0,1.0,100.0
gemma_4,zero_shot,patient,listPatients,1,1.0,1.0,100.0
qwen_4b,few_shot,encounter,processAdtMessage,21,11.0,7.0,100.0
qwen_4b,few_shot,encounter,transitionEncounterStatus,18,10.0,10.0,100.0
qwen_4b,few_shot,order,validateOrderResult,15,10.0,10.0,100.0
qwen_4b,few_shot,result,updateResult,26,9.0,9.0,100.0
qwen_4b,few_shot,encounter,validateEncounterFields,11,8.0,8.0,100.0
qwen_4b,few_shot,order,updateOrder,7,6.0,6.0,100.0
qwen_4b,few_shot,encounter,createEncounter,5,4.0,4.0,100.0
qwen_4b,few_shot,order,createOrder,5,4.0,4.0,100.0
qwen_4b,few_shot,result,buildResultReport,17,4.0,3.0,100.0
qwen_4b,few_shot,patient,createPatient,4,3.0,3.0,100.0
qwen_4b,few_shot,patient,updatePatient,10,3.0,3.0,100.0
qwen_4b,few_shot,result,searchResults,1,3.0,3.0,100.0
qwen_4b,few_shot,encounter,listEncountersByPatient,1,2.0,2.0,100.0
qwen_4b,few_shot,encounter,getEncounterById,2,2.0,2.0,100.0
qwen_4b,few_shot,order,getOrderById,2,2.0,2.0,100.0
qwen_4b,few_shot,order,searchOrders,1,2.0,2.0,100.0
qwen_4b,few_shot,order,searchOrdersAdvanced,1,2.0,2.0,100.0
qwen_4b,few_shot,order,cancelOrder,2,2.0,2.0,100.0
qwen_4b,few_shot,patient,getPatientById,2,2.0,2.0,100.0
qwen_4b,few_shot,patient,findByCpfOrFail,2,2.0,2.0,100.0
qwen_4b,few_shot,result,createResult,5,2.0,2.0,100.0
qwen_4b,few_shot,result,getResultById,2,2.0,2.0,100.0
qwen_4b,few_shot,patient,listPatients,1,1.0,1.0,100.0
qwen_4b,structured,encounter,processAdtMessage,21,12.0,8.0,100.0
qwen_4b,structured,result,updateResult,26,11.0,11.0,100.0
qwen_4b,structured,encounter,transitionEncounterStatus,18,10.0,10.0,100.0
qwen_4b,structured,order,validateOrderResult,15,10.0,10.0,100.0
qwen_4b,structured,encounter,updateEncounter,9,7.0,7.0,100.0
qwen_4b,structured,encounter,validateEncounterFields,11,5.0,5.0,100.0
qwen_4b,structured,encounter,listEncountersByPatient,1,4.0,4.0,100.0
qwen_4b,structured,patient,updatePatient,10,4.0,3.0,100.0
qwen_4b,structured,order,createOrder,5,3.0,3.0,100.0
qwen_4b,structured,order,searchOrders,1,3.0,3.0,100.0
qwen_4b,structured,patient,listPatients,1,3.0,3.0,100.0
qwen_4b,structured,patient,createPatient,4,3.0,3.0,100.0
qwen_4b,structured,result,createResult,5,3.0,3.0,100.0
qwen_4b,structured,result,searchResults,1,3.0,3.0,100.0
qwen_4b,structured,order,searchOrdersAdvanced,1,2.0,2.0,100.0
qwen_4b,structured,patient,findByCpfOrFail,2,2.0,2.0,100.0
qwen_4b,structured,encounter,getEncounterById,2,1.0,1.0,100.0
qwen_4b,structured,order,getOrderById,2,1.0,1.0,100.0
qwen_4b,structured,patient,getPatientById,2,1.0,1.0,100.0
qwen_4b,structured,result,getResultById,2,1.0,1.0,100.0
qwen_4b,zero_shot,result,updateResult,26,16.0,15.0,0.0
qwen_4b,zero_shot,encounter,processAdtMessage,21,12.0,8.0,100.0
qwen_4b,zero_shot,order,validateOrderResult,15,11.0,11.0,100.0
qwen_4b,zero_shot,encounter,transitionEncounterStatus,18,10.0,6.0,0.0
qwen_4b,zero_shot,result,buildResultReport,17,9.0,9.0,100.0
qwen_4b,zero_shot,encounter,updateEncounter,9,7.0,5.0,100.0
qwen_4b,zero_shot,order,searchOrders,1,6.0,6.0,100.0
qwen_4b,zero_shot,order,updateOrder,7,6.0,5.0,100.0
qwen_4b,zero_shot,encounter,createEncounter,5,5.0,4.0,100.0
qwen_4b,zero_shot,encounter,listEncountersByPatient,1,5.0,5.0,100.0
qwen_4b,zero_shot,order,createOrder,5,4.0,4.0,100.0
qwen_4b,zero_shot,order,searchOrdersAdvanced,1,4.0,4.0,100.0
qwen_4b,zero_shot,patient,listPatients,1,3.0,3.0,100.0
qwen_4b,zero_shot,patient,updatePatient,10,3.0,2.0,100.0
qwen_4b,zero_shot,result,createResult,5,3.0,3.0,100.0
qwen_4b,zero_shot,encounter,getEncounterById,2,2.0,2.0,100.0
qwen_4b,zero_shot,order,getOrderById,2,2.0,2.0,100.0
qwen_4b,zero_shot,order,cancelOrder,2,2.0,2.0,100.0
qwen_4b,zero_shot,patient,getPatientById,2,2.0,2.0,100.0
qwen_4b,zero_shot,patient,findByCpfOrFail,2,2.0,2.0,100.0
qwen_4b,zero_shot,result,searchResults,1,2.0,2.0,100.0
qwen_4b,zero_shot,result,getResultById,2,2.0,2.0,100.0
qwen_coder_3b,few_shot,order,validateOrderResult,15,13.0,3.0,33.33
qwen_coder_3b,few_shot,encounter,processAdtMessage,21,10.0,4.0,100.0
qwen_coder_3b,few_shot,result,updateResult,26,8.0,7.0,100.0
qwen_coder_3b,few_shot,encounter,buildEncounterSummary,20,6.0,3.0,100.0
qwen_coder_3b,few_shot,order,updateOrder,7,5.0,5.0,100.0
