run_id,model,strategy,execution_failed,test_metrics_source,total_tests,passed_tests,failed_tests,pending_tests,functions_total,functions_generation_success,functions_jest_success,functions_jest_failed,global_statements_total,global_statements_covered,global_statements_pct,global_branches_total,global_branches_covered,global_branches_pct,global_functions_total,global_functions_covered,global_functions_pct,global_lines_total,global_lines_covered,global_lines_pct
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,False,sum_of_valid_functions,73,26,0,47,19,19,19,0,338,100,29.58,344,87,25.29,33,17,51.51,322,92,28.57
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,False,sum_of_valid_functions,88,51,0,37,23,23,23,0,338,189,55.91,344,153,44.47,33,26,78.78,322,178,55.27
run-20260901T031236.570959Z,qwen_coder_3b,structured,False,sum_of_valid_functions,96,64,0,32,23,23,23,0,338,216,63.9,344,203,59.01,33,29,87.87,322,204,63.35
run-20260901T031236.570959Z,qwen_coder_7b,zero_shot,False,sum_of_valid_functions,95,66,0,29,24,24,24,0,338,234,69.23,344,195,56.68,33,28,84.84,322,224,69.56
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,False,sum_of_valid_functions,94,77,0,17,25,25,25,0,338,262,77.51,344,227,65.98,33,30,90.9,322,250,77.63
run-20260901T031236.570959Z,qwen_coder_7b,structured,False,sum_of_valid_functions,94,76,0,18,24,24,24,0,338,216,63.9,344,191,55.52,33,28,84.84,322,208,64.59
run-20260901T031236.570959Z,gemma_4,zero_shot,False,sum_of_valid_functions,94,38,0,56,24,24,24,0,338,161,47.63,344,112,32.55,33,24,72.72,322,151,46.89
run-20260901T031236.570959Z,gemma_4,few_shot,False,sum_of_valid_functions,91,81,0,10,23,23,23,0,338,248,73.37,344,234,68.02,33,30,90.9,322,240,74.53
run-20260901T031236.570959Z,gemma_4,structured,False,sum_of_valid_functions,112,99,0,13,24,24,24,0,338,277,81.95,344,258,75.0,33,32,96.96,322,265,82.29
run-20260901T031236.570959Z,qwen_4b,zero_shot,False,sum_of_valid_functions,131,104,0,27,24,24,24,0,338,203,60.05,344,176,51.16,33,28,84.84,322,191,59.31
run-20260901T031236.570959Z,qwen_4b,few_shot,False,sum_of_valid_functions,104,91,0,13,24,24,24,0,338,253,74.85,344,243,70.63,33,31,93.93,322,243,75.46
run-20260901T031236.570959Z,qwen_4b,structured,False,sum_of_valid_functions,90,84,0,6,21,21,21,0,338,228,67.45,344,227,65.98,33,27,81.81,322,220,68.32
run-20260901T031236.570959Z,falcon_7b,zero_shot,False,sum_of_valid_functions,59,47,0,12,19,19,19,0,338,176,52.07,344,160,46.51,33,23,69.69,322,167,51.86
run-20260901T031236.570959Z,falcon_7b,few_shot,False,sum_of_valid_functions,22,21,0,1,8,8,8,0,338,98,28.99,344,82,23.83,33,14,42.42,322,90,27.95
run-20260901T031236.570959Z,falcon_7b,structured,False,sum_of_valid_functions,92,39,0,53,25,25,25,0,338,145,42.89,344,98,28.48,33,22,66.66,322,136,42.23
