run_id,model,strategy,module,source_file,test_output_file,fn_id,function,ccm,range,mutants_total,mutants_killed,mutants_killed_by_own_tests,mutants_killed_by_other_function_tests,mutants_survived,mutants_no_coverage,mutants_timeout,mutants_compile_error,mutants_unmapped_in_module
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_createEncounter_END,createEncounter,5,medium,17,0,0,0,0,17,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_validateEncounterFields_END,validateEncounterFields,11,high,39,16,16,0,23,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_listEncountersByPatient_END,listEncountersByPatient,1,low,1,0,0,0,0,1,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_getEncounterById_END,getEncounterById,2,low,6,3,3,0,1,2,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_transitionEncounterStatus_END,transitionEncounterStatus,18,high,89,0,0,0,0,89,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_processAdtMessage_END,processAdtMessage,21,high,84,0,0,0,0,84,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_updateEncounter_END,updateEncounter,9,medium,38,0,0,0,0,38,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_buildEncounterSummary_END,buildEncounterSummary,20,high,86,0,0,0,0,86,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_getOrderById_END,getOrderById,2,low,6,3,0,3,1,2,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_createOrder_END,createOrder,5,medium,18,0,0,0,0,18,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_searchOrders_END,searchOrders,1,low,1,1,1,0,0,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_searchOrdersAdvanced_END,searchOrdersAdvanced,1,low,1,1,1,0,0,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_validateOrderResult_END,validateOrderResult,15,high,69,0,0,0,0,69,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_cancelOrder_END,cancelOrder,2,low,6,5,5,0,1,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,FN_updateOrder_END,updateOrder,7,medium,27,23,23,0,4,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,FN_getPatientById_END,getPatientById,2,low,6,6,5,1,0,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,FN_listPatients_END,listPatients,1,low,1,1,1,0,0,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,FN_createPatient_END,createPatient,4,low,17,10,10,0,6,1,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,FN_updatePatient_END,updatePatient,10,medium,43,2,2,0,39,2,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,FN_findByCpfOrFail_END,findByCpfOrFail,2,low,6,3,3,0,1,2,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,FN_createResult_END,createResult,5,medium,6,6,6,0,0,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,FN_searchResults_END,searchResults,1,low,1,0,0,0,0,1,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,FN_getResultById_END,getResultById,2,low,6,0,0,0,0,6,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,FN_buildResultReport_END,buildResultReport,17,high,77,0,0,0,0,77,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,FN_updateResult_END,updateResult,26,high,118,0,0,0,0,118,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_createEncounter_END,createEncounter,5,medium,17,1,1,0,5,11,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_validateEncounterFields_END,validateEncounterFields,11,high,39,5,0,5,4,30,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_listEncountersByPatient_END,listEncountersByPatient,1,low,1,0,0,0,0,1,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_getEncounterById_END,getEncounterById,2,low,6,5,5,0,1,0,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_transitionEncounterStatus_END,transitionEncounterStatus,18,high,89,1,0,1,0,88,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_processAdtMessage_END,processAdtMessage,21,high,84,21,21,0,14,49,0,0,0
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,FN_updateEncounter_END,updateEncounter,9,medium,38,0,0,0,0,38,0,0,0
