run_id,model,strategy,module,source_file,test_output_file,mutants_total,mutants_killed,mutants_survived,mutants_timeout,mutants_no_coverage,mutants_compile_error,mutation_score
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,360,19,24,0,317,0,44.19
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,128,33,6,0,89,0,84.62
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,73,22,46,0,5,0,32.35
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,208,6,0,0,202,0,100.0
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,360,71,63,0,226,0,52.99
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,128,57,13,0,58,0,81.43
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,73,30,26,0,17,0,53.57
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,208,69,57,0,82,0,54.76
run-20260901T031236.570959Z,qwen_coder_3b,structured,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,360,77,114,0,169,0,40.31
run-20260901T031236.570959Z,qwen_coder_3b,structured,order,src/order/order.service.ts,src/order/order.service.spec.ts,128,41,19,0,68,0,68.33
run-20260901T031236.570959Z,qwen_coder_3b,structured,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,73,56,15,0,2,0,78.87
run-20260901T031236.570959Z,qwen_coder_3b,structured,result,src/result/result.service.ts,src/result/result.service.spec.ts,208,133,63,0,12,0,67.86
run-20260901T031236.570959Z,qwen_coder_7b,zero_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,360,166,103,0,91,0,61.71
run-20260901T031236.570959Z,qwen_coder_7b,zero_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,128,52,17,0,59,0,75.36
run-20260901T031236.570959Z,qwen_coder_7b,zero_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,73,26,4,0,43,0,86.67
run-20260901T031236.570959Z,qwen_coder_7b,zero_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,208,55,69,0,84,0,44.35
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,360,135,116,0,109,0,53.78
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,128,59,37,0,32,0,61.46
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,73,39,28,0,6,0,58.21
run-20260901T031236.570959Z,qwen_coder_7b,few_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,208,103,81,0,24,0,55.98
run-20260901T031236.570959Z,qwen_coder_7b,structured,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,360,144,65,0,150,0,68.9
run-20260901T031236.570959Z,qwen_coder_7b,structured,order,src/order/order.service.ts,src/order/order.service.spec.ts,128,55,15,0,58,0,78.57
run-20260901T031236.570959Z,qwen_coder_7b,structured,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,73,26,4,0,43,0,86.67
run-20260901T031236.570959Z,qwen_coder_7b,structured,result,src/result/result.service.ts,src/result/result.service.spec.ts,208,79,45,0,84,0,63.71
run-20260901T031236.570959Z,gemma_4,zero_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,360,83,24,0,253,0,77.57
run-20260901T031236.570959Z,gemma_4,zero_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,128,51,20,0,57,0,71.83
