run_id,model,strategy,module,function,fn_id,source_file,test_output_file,ccm,range,line_start,line_end,source_hash,duration_ns,tokens,generation_success,jest_success,runtime_repairs,repair_tokens,repair_success_count,repair_fail_count,requires_typescript_repair,analysis_eligible,execution_status,artifact_disposition,total_tests,passed_tests,failed_tests,pending_tests,fn_statements_total,fn_statements_covered,fn_statements_pct,fn_branches_total,fn_branches_covered,fn_branches_pct,fn_functions_total,fn_functions_covered,fn_functions_pct,error
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,createEncounter,FN_createEncounter_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,5,medium,30,63,04a941d1,16816719600,2030,True,True,1.0,4208.0,4.0,0.0,False,True,jest_success,accepted,4.0,0.0,0.0,4.0,11.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,validateEncounterFields,FN_validateEncounterFields_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,11,high,65,91,04a941d1,8980045400,1573,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,5.0,5.0,0.0,0.0,10.0,10.0,100.0,20.0,19.0,95.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,listEncountersByPatient,FN_listEncountersByPatient_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,1,low,93,99,04a941d1,11451284400,1604,True,True,2.0,4013.0,2.0,0.0,False,True,jest_success,accepted,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,getEncounterById,FN_getEncounterById_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,2,low,101,107,04a941d1,9162084100,1462,True,True,1.0,620.0,1.0,0.0,False,True,jest_success,accepted,2.0,1.0,0.0,1.0,4.0,3.0,75.0,2.0,1.0,50.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,transitionEncounterStatus,FN_transitionEncounterStatus_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,18,high,109,197,04a941d1,28798855000,2893,True,True,2.0,15328.0,11.0,0.0,False,True,jest_success,accepted,10.0,0.0,0.0,10.0,37.0,0.0,0.0,34.0,0.0,0.0,2.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,processAdtMessage,FN_processAdtMessage_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,21,high,199,317,04a941d1,105724025800,6197,True,True,2.0,25531.0,11.0,0.0,False,True,jest_success,accepted,10.0,0.0,0.0,10.0,37.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,updateEncounter,FN_updateEncounter_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,9,medium,319,363,04a941d1,19825039500,2117,True,False,4.0,0.0,0.0,0.0,False,False,jest_failed,restored,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,buildEncounterSummary,FN_buildEncounterSummary_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,20,high,365,439,04a941d1,32501362000,2814,True,True,2.0,6861.0,4.0,0.0,False,True,jest_success,accepted,3.0,0.0,0.0,3.0,34.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,getOrderById,FN_getOrderById_END,src/order/order.service.ts,src/order/order.service.spec.ts,2,low,26,32,556cd6ea,7009031200,1339,True,False,4.0,0.0,0.0,0.0,False,False,jest_failed,restored,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,createOrder,FN_createOrder_END,src/order/order.service.ts,src/order/order.service.spec.ts,5,medium,34,70,556cd6ea,22257799500,2195,True,False,4.0,0.0,0.0,0.0,False,False,jest_failed,restored,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,searchOrders,FN_searchOrders_END,src/order/order.service.ts,src/order/order.service.spec.ts,1,low,72,74,556cd6ea,6790385400,1351,True,True,1.0,594.0,1.0,0.0,False,True,jest_success,accepted,3.0,2.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,searchOrdersAdvanced,FN_searchOrdersAdvanced_END,src/order/order.service.ts,src/order/order.service.spec.ts,1,low,76,78,556cd6ea,14851746300,1737,True,True,2.0,3505.0,4.0,0.0,False,True,jest_success,accepted,3.0,1.0,0.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,validateOrderResult,FN_validateOrderResult_END,src/order/order.service.ts,src/order/order.service.spec.ts,15,high,80,158,556cd6ea,215500007000,9799,False,,,,,,,False,generation_invalid,,,,,,,,,,,,,,,invalid_block
