run_id,model,strategy,module,source_file,test_output_file,execution_failed,test_metrics_source,total_tests,passed_tests,failed_tests,pending_tests,functions_total,functions_generation_success,functions_jest_success,functions_jest_failed,svc_statements_total,svc_statements_covered,svc_statements_pct,svc_branches_total,svc_branches_covered,svc_branches_pct,svc_functions_total,svc_functions_covered,svc_functions_pct,svc_lines_total,svc_lines_covered,svc_lines_pct
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,False,sum_of_valid_functions,35,6,0,29,7,7,7,0,165,25,15.15,153,26,16.99,10,3,30.0,159,23,14.46
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,False,sum_of_valid_functions,13,10,0,3,4,4,4,0,73,33,45.2,60,21,35.0,10,6,60.0,71,31,43.66
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,False,sum_of_valid_functions,12,9,0,3,5,5,5,0,33,29,87.87,32,26,81.25,6,6,100.0,31,27,87.09
run-20260901T031236.570959Z,qwen_coder_3b,zero_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,False,sum_of_valid_functions,13,1,0,12,3,3,3,0,67,13,19.4,99,14,14.14,7,2,28.57,61,11,18.03
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,False,sum_of_valid_functions,30,12,0,18,6,6,6,0,165,70,42.42,153,50,32.67,10,7,70.0,159,65,40.88
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,order,src/order/order.service.ts,src/order/order.service.spec.ts,False,sum_of_valid_functions,30,19,0,11,7,7,7,0,73,50,68.49,60,31,51.66,10,8,80.0,71,48,67.6
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,patient,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,False,sum_of_valid_functions,10,8,0,2,5,5,5,0,33,29,87.87,32,20,62.5,6,6,100.0,31,27,87.09
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,result,src/result/result.service.ts,src/result/result.service.spec.ts,False,sum_of_valid_functions,18,12,0,6,5,5,5,0,67,40,59.7,99,52,52.52,7,5,71.42,61,38,62.29
run-20260901T031236.570959Z,qwen_coder_3b,structured,encounter,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,False,sum_of_valid_functions,39,26,0,13,7,7,7,0,165,82,49.69,153,70,45.75,10,9,90.0,159,80,50.31
run-20260901T031236.570959Z,qwen_coder_3b,structured,order,src/order/order.service.ts,src/order/order.service.spec.ts,False,sum_of_valid_functions,28,14,0,14,7,7,7,0,73,41,56.16,60,25,41.66,10,8,80.0,71,39,54.92
