module,function,source_file,line_start,line_end,ccm,strategy,char_length,sha256
encounter,createEncounter,src/encounter/encounter.service.ts,30,63,5,zero_shot,4905,06695ec89e2ceb5666f41248de413712f075a695fd54d7f02c1874206e0e20ec
encounter,createEncounter,src/encounter/encounter.service.ts,30,63,5,few_shot,8196,dc48acef4134b8af3c1835a2ee34b8e2be89e968de3c8537fde3b3a5663568ed
encounter,createEncounter,src/encounter/encounter.service.ts,30,63,5,structured,8706,a96307d6c3b0e036b10e6df3fed2e4b9aa72db9c24ed781211a0efc91ccf1b46
encounter,validateEncounterFields,src/encounter/encounter.service.ts,65,91,11,zero_shot,4343,1451c76ba6ba38d95bc40f7e65511c83f5afe1dd8fbacdf6e07bb0ecc3606d79
encounter,validateEncounterFields,src/encounter/encounter.service.ts,65,91,11,few_shot,7642,b40ea8d7685d798adda93899bff6d089fcb5d5f61e62234d1770d05d97e42169
encounter,validateEncounterFields,src/encounter/encounter.service.ts,65,91,11,structured,7937,762eaabc694302021382ae68bfb4e9212d0b44d8a5ec6f66f87120685ac38b25
encounter,listEncountersByPatient,src/encounter/encounter.service.ts,93,99,1,zero_shot,4159,33d041c7209ff38b0947d9b1fcd7c70c2e46f26bcbfb730938071ac1ae1516ba
encounter,listEncountersByPatient,src/encounter/encounter.service.ts,93,99,1,few_shot,7458,607389f3c8d047d6728590123197bd379a26862688701bc87a112bcc25b0aa25
encounter,listEncountersByPatient,src/encounter/encounter.service.ts,93,99,1,structured,7426,654be2a3572733d2335a3cc1431e2452a26640e092a9ecb30d98d0840428aa5d
encounter,getEncounterById,src/encounter/encounter.service.ts,101,107,2,zero_shot,4004,fb47ca671050845bf1bf80e24813f2155d701f50405508f5c89d12395e790bd1
encounter,getEncounterById,src/encounter/encounter.service.ts,101,107,2,few_shot,7296,014c8a7aec529b6429fa56430ab2f9fed6e27b4a3f1cd1f8dc155b8d4fb112b1
encounter,getEncounterById,src/encounter/encounter.service.ts,101,107,2,structured,7160,0197dcbab4d420476bd96f2055291fbfe43bb698981a8f3a7e8ff9c912bbede2
encounter,transitionEncounterStatus,src/encounter/encounter.service.ts,109,197,18,zero_shot,6937,846192802895dc0d934e2889090d2f6d665a3ca58743344c68cff3bb4ef08ba9
encounter,transitionEncounterStatus,src/encounter/encounter.service.ts,109,197,18,few_shot,10238,919eee282454abce3881924007990567fe70bfc73063dd7ae2df57b9f665347d
encounter,transitionEncounterStatus,src/encounter/encounter.service.ts,109,197,18,structured,11801,805f4f3f019022be2cb6e2519703e9c259f1a284007102cf0b0ec1de6afd57a5
encounter,processAdtMessage,src/encounter/encounter.service.ts,199,317,21,zero_shot,7880,40cea4119fd4623612bb039ed7cde8083c99c0b61862c73070e3a9feb45581a9
encounter,processAdtMessage,src/encounter/encounter.service.ts,199,317,21,few_shot,11173,781fc9c52f343f5ac4bc922ed135a069763a9e59eabce8447ce17f253aa45dc9
encounter,processAdtMessage,src/encounter/encounter.service.ts,199,317,21,structured,13785,0b5446a8f96a1f3873c191dda0213de25e2f15c52f20307e4bd3c705b71d9aa0
encounter,updateEncounter,src/encounter/encounter.service.ts,319,363,9,zero_shot,5093,536c23175792b6bbb5f435b26495c1d4b638f0dbb2737a653186589de9bf4aa8
encounter,updateEncounter,src/encounter/encounter.service.ts,319,363,9,few_shot,8384,e6f3b0bfa0569ba4d61afd5c0810b585962ea7d355858bbed72f37dd5ff05918
encounter,updateEncounter,src/encounter/encounter.service.ts,319,363,9,structured,9075,7f34a3d729a52b8e068eff2e935d7f5e47ecb6fa05ab2a4242bf34043205a133
